tag	name	len	vol	rad	voxc	defc	col	tips	dslen	dsvol	parent	beta	gamma	nchild	q	s
local/data/dicom_small_10.gd	(106, 241, 36)-(107, 245, 38)	8.640304	378.664696	3.734977	229	61	#00fff3	42	1691.261429	14447.861302	NA	NA	NA	2	1.24837021446	NA
local/data/dicom_small_10.gd	(106, 238, 35)-(106, 241, 36)	5.596427	65.364739	1.928153	37	8	#00ff96	39	1646.924087	13981.292302	(106, 241, 36)-(107, 245, 38)	0.516242	0.647712	2	NA	NA
local/data/dicom_small_10.gd	(105, 237, 34)-(106, 238, 35)	2.271563	4.507913	0.794786	2	0	#4400ff	35	1243.561681	10751.372607	(106, 238, 35)-(106, 241, 36)	0.412201	0.405895	2	NA	NA
local/data/dicom_small_10.gd	(104, 234, 31)-(105, 237, 34)	9.497972	162.284870	2.332108	77	5	#00ffeb	33	1217.561045	10609.373346	(105, 237, 34)-(106, 238, 35)	2.934258	4.181249	2	1.86978111974	NA
local/data/dicom_small_10.gd	(97, 230, 20)-(104, 234, 31)	29.268025	207.364000	1.501741	119	27	#007aff	32	1200.227529	10374.961868	(104, 234, 31)-(105, 237, 34)	0.643941	3.081503	2	1.51335899107	0.474794920046
local/data/dicom_small_10.gd	(94, 227, 18)-(97, 230, 20)	6.376157	24.793522	1.112538	11	0	#ff00a9	18	722.681903	6565.775347	(97, 230, 20)-(104, 234, 31)	0.740832	0.217854	2	NA	NA
local/data/dicom_small_10.gd	(93, 228, 18)-(94, 227, 18)	1.833030	4.507913	0.884765	2	0	#5fff7fffffffffffffa1	1	1.833030	4.507913	(94, 227, 18)-(97, 230, 20)	0.795268	0.287482	0	NA	NA
local/data/dicom_small_10.gd	(94, 227, 18)-(95, 222, 16)	8.968453	45.079130	1.264894	27	7	#00ffdc	17	714.472716	6536.473912	(94, 227, 18)-(97, 230, 20)	1.136945	1.406561	2	1.4916974666	0.504751310938
local/data/dicom_small_10.gd	(94, 223, 15)-(95, 222, 16)	2.271563	4.507913	0.794786	2	0	#ffbe7ffffffffffffec1	1	2.271563	4.507913	(94, 227, 18)-(95, 222, 16)	0.628342	0.253284	0	NA	NA
local/data/dicom_small_10.gd	(95, 222, 16)-(96, 221, 17)	2.271563	4.507913	0.794786	2	0	#ff777ffffffffffffe7a	16	703.232699	6486.886868	(94, 227, 18)-(95, 222, 16)	0.628342	0.253284	2	NA	NA
local/data/dicom_small_10.gd	(90, 206, 16)-(96, 221, 17)	27.081594	833.963913	3.130845	381	11	#0037ff	15	688.916413	6383.204868	(95, 222, 16)-(96, 221, 17)	3.939229	11.922007	2	3.17775523597	NA
local/data/dicom_small_10.gd	(79, 201, 20)-(90, 206, 16)	19.847822	464.315043	2.728821	221	15	#00a3ff	5	274.427572	2055.608347	(90, 206, 16)-(96, 221, 17)	0.871592	0.732890	2	1.71257159116	NA
local/data/dicom_small_10.gd	(74, 198, 21)-(79, 201, 20)	9.406986	153.269043	2.277336	69	1	#b700ff	3	68.421040	709.996304	(79, 201, 20)-(90, 206, 16)	0.834549	0.473956	2	1.07270400679	0.808142464313
local/data/dicom_small_10.gd	(72, 201, 18)-(74, 198, 21)	6.408602	45.079130	1.496343	21	1	#ff00cb	1	6.408602	45.079130	(74, 198, 21)-(79, 201, 20)	0.657059	0.681260	0	NA	NA
local/data/dicom_small_10.gd	(73, 197, 21)-(74, 198, 21)	1.833030	4.507913	0.884765	2	0	#0069ff	2	52.605451	511.648130	(74, 198, 21)-(79, 201, 20)	0.388509	0.194858	2	NA	NA
local/data/dicom_small_10.gd	(46, 207, 20)-(73, 197, 21)	44.769906	473.330869	1.834486	218	8	#ff0071	1	44.769906	473.330869	(73, 197, 21)-(74, 198, 21)	2.073416	24.423986	0	NA	NA
local/data/dicom_small_10.gd	(73, 197, 21)-(74, 194, 18)	6.002515	33.809348	1.338988	16	1	#00ff0c	1	6.002515	33.809348	(73, 197, 21)-(74, 198, 21)	1.513383	3.274640	0	NA	NA
local/data/dicom_small_10.gd	(79, 201, 20)-(83, 111, 37)	159.430294	795.646652	1.260375	362	9	#003fff	2	186.158710	881.297000	(79, 201, 20)-(90, 206, 16)	0.461875	8.032634	2	2.20281169402	0.239330274007
local/data/dicom_small_10.gd	(83, 111, 37)-(84, 112, 38)	2.271563	4.507913	0.794786	2	0	#22ff7fffffffffffffde	1	2.271563	4.507913	(79, 201, 20)-(83, 111, 37)	0.630595	0.014248	0	NA	NA
local/data/dicom_small_10.gd	(83, 111, 37)-(92, 98, 33)	24.456853	81.142435	1.027658	36	0	#ff8b7ffffffffffffe8e	1	24.456853	81.142435	(79, 201, 20)-(83, 111, 37)	0.815359	0.153402	0	NA	NA
local/data/dicom_small_10.gd	(83, 175, 16)-(90, 206, 16)	48.979083	784.376869	2.257783	357	9	#ffeb7ffffffffffffeee	10	387.407247	3493.632608	(90, 206, 16)-(96, 221, 17)	0.721142	1.808575	2	NA	0.428697532096
local/data/dicom_small_10.gd	(80, 161, 12)-(83, 175, 16)	25.320215	414.728000	2.283353	186	2	#ff0e7ffffffffffffe11	8	322.468786	2677.700347	(83, 175, 16)-(90, 206, 16)	1.011325	0.516960	2	NA	1.0462714029
local/data/dicom_small_10.gd	(78, 152, 12)-(80, 161, 12)	17.910208	299.776217	2.308199	134	1	#8900ff	7	289.037733	2242.686739	(80, 161, 12)-(83, 175, 16)	1.010882	0.707348	2	3.90895023832	1.10352468244
local/data/dicom_small_10.gd	(77, 148, 14)-(78, 152, 12)	7.672305	121.713652	2.247149	61	7	#82ff7fffffffffffff7e	6	259.724268	1884.307652	(78, 152, 12)-(80, 161, 12)	0.973550	0.428376	2	2.39447357405	NA
local/data/dicom_small_10.gd	(77, 124, 18)-(77, 148, 14)	35.466491	387.680522	1.865318	189	17	#0015ff	4	204.749916	1519.166695	(77, 148, 14)-(78, 152, 12)	0.830082	4.622664	2	2.69200625413	NA
local/data/dicom_small_10.gd	(65, 99, 25)-(77, 124, 18)	43.054676	132.983435	0.991548	63	4	#ff0013	1	43.054676	132.983435	(77, 124, 18)-(77, 148, 14)	0.531570	1.213954	0	NA	NA
local/data/dicom_small_10.gd	(77, 124, 18)-(89, 71, 23)	89.571245	842.979739	1.730810	379	5	#fdff7fffffffffffff03	3	126.228749	998.502739	(77, 124, 18)-(77, 148, 14)	0.927890	2.525518	2	2.93405267839	0.282757649602
local/data/dicom_small_10.gd	(84, 67, 30)-(89, 71, 23)	14.538118	87.904304	1.387318	39	0	#8c00ff	2	33.089793	135.237391	(77, 124, 18)-(89, 71, 23)	0.801543	0.162308	2	1.62895295837	1.62928305782
local/data/dicom_small_10.gd	(77, 65, 27)-(84, 67, 30)	11.854784	29.301435	0.886998	13	0	#1c00ff	1	11.854784	29.301435	(84, 67, 30)-(89, 71, 23)	0.639362	0.815428	0	NA	NA
local/data/dicom_small_10.gd	(84, 67, 30)-(88, 65, 31)	6.696890	18.031652	0.925777	8	0	#00ffcd	1	6.696890	18.031652	(84, 67, 30)-(89, 71, 23)	0.667314	0.460644	0	NA	NA
local/data/dicom_small_10.gd	(89, 71, 23)-(90, 69, 24)	3.567711	20.285609	1.345316	9	0	#00a7ff	1	3.567711	20.285609	(77, 124, 18)-(89, 71, 23)	0.777275	0.039831	0	NA	NA
local/data/dicom_small_10.gd	(77, 148, 14)-(78, 129, 13)	31.034930	209.617956	1.466270	108	15	#07ff7ffffffffffffff9	2	47.302046	243.427304	(77, 148, 14)-(78, 152, 12)	0.652502	4.045059	2	1.27926765457	0.463781137342
local/data/dicom_small_10.gd	(78, 127, 13)-(78, 129, 13)	2.592296	6.761870	0.911205	3	0	#5900ff	1	2.592296	6.761870	(77, 148, 14)-(78, 129, 13)	0.621444	0.083528	0	NA	NA
local/data/dicom_small_10.gd	(78, 129, 13)-(83, 133, 8)	13.674820	27.047478	0.793465	14	2	#9000ff	1	13.674820	27.047478	(77, 148, 14)-(78, 129, 13)	0.541145	0.440627	0	NA	NA
local/data/dicom_small_10.gd	(78, 152, 12)-(80, 147, 8)	11.403257	58.602870	1.278999	39	13	#ff0054	1	11.403257	58.602870	(78, 152, 12)-(80, 161, 12)	0.554111	0.636690	0	NA	NA
local/data/dicom_small_10.gd	(80, 161, 12)-(83, 165, 9)	8.110838	20.285609	0.892249	9	0	#00ffb7	1	8.110838	20.285609	(80, 161, 12)-(83, 175, 16)	0.390763	0.320331	0	NA	NA
local/data/dicom_small_10.gd	(83, 174, 17)-(83, 175, 16)	1.865476	4.507913	0.877037	2	0	#00c2ff	2	15.959378	31.555391	(83, 175, 16)-(90, 206, 16)	0.388451	0.038087	2	5.66163761957	NA
local/data/dicom_small_10.gd	(81, 175, 18)-(83, 174, 17)	3.698506	6.761870	0.762861	3	0	#ff00c9	1	3.698506	6.761870	(83, 174, 17)-(83, 175, 16)	0.869816	1.982607	0	NA	NA
local/data/dicom_small_10.gd	(83, 174, 17)-(86, 178, 19)	10.395396	20.285609	0.788131	9	0	#00baff	1	10.395396	20.285609	(83, 174, 17)-(83, 175, 16)	0.898629	5.572517	0	NA	NA
local/data/dicom_small_10.gd	(96, 221, 17)-(98, 228, 15)	12.044723	99.174087	1.618921	50	6	#28ff7fffffffffffffd8	1	12.044723	99.174087	(95, 222, 16)-(96, 221, 17)	2.036927	5.302393	0	NA	NA
local/data/dicom_small_10.gd	(97, 230, 20)-(101, 227, 19)	7.233772	13.523739	0.771420	7	1	#31ff7fffffffffffffcf	14	448.277601	3601.822521	(97, 230, 20)-(104, 234, 31)	0.513684	0.247156	2	NA	NA
local/data/dicom_small_10.gd	(101, 227, 19)-(104, 229, 20)	5.400742	27.047478	1.262588	12	0	#acff7fffffffffffff54	1	5.400742	27.047478	(97, 230, 20)-(101, 227, 19)	1.636706	0.746601	0	NA	NA
local/data/dicom_small_10.gd	(101, 227, 19)-(111, 178, 17)	72.034457	773.107087	1.848310	343	0	#4eff7fffffffffffffb2	13	435.643087	3561.251304	(97, 230, 20)-(101, 227, 19)	2.395983	9.958077	2	NA	0.526111535444
local/data/dicom_small_10.gd	(108, 181, 20)-(111, 178, 17)	13.137938	29.301435	0.842570	15	2	#00a8ff	1	13.137938	29.301435	(101, 227, 19)-(111, 178, 17)	0.455860	0.182384	0	NA	NA
local/data/dicom_small_10.gd	(111, 178, 17)-(113, 160, 13)	26.550947	369.648869	2.105134	174	10	#ffa07ffffffffffffea3	12	350.470692	2758.842782	(101, 227, 19)-(111, 178, 17)	1.138951	0.368587	2	NA	NA
local/data/dicom_small_10.gd	(113, 160, 13)-(113, 162, 11)	4.543127	18.031652	1.123998	9	1	#005fff	1	4.543127	18.031652	(111, 178, 17)-(113, 160, 13)	0.533932	0.171110	0	NA	NA
local/data/dicom_small_10.gd	(113, 160, 13)-(115, 143, 14)	26.897891	441.775478	2.286477	198	2	#ff00d5	11	319.376618	2371.162260	(111, 178, 17)-(113, 160, 13)	1.086143	1.013067	2	3.03013167584	4.81718294851
local/data/dicom_small_10.gd	(115, 126, 18)-(115, 143, 14)	26.393454	311.046000	1.936820	151	13	#00ff2f	9	267.269369	1758.086087	(113, 160, 13)-(115, 143, 14)	0.847076	0.981246	2	2.84270760277	NA
local/data/dicom_small_10.gd	(101, 77, 26)-(115, 126, 18)	82.010284	849.741609	1.816077	377	0	#00a0ff	7	185.233887	1275.739391	(115, 126, 18)-(115, 143, 14)	0.937659	3.107221	2	1.20159905877	0.221866909464
local/data/dicom_small_10.gd	(101, 76, 25)-(101, 77, 26)	1.865476	4.507913	0.877037	2	0	#ffe37ffffffffffffee6	5	83.035597	358.379087	(101, 77, 26)-(115, 126, 18)	0.482929	0.022747	2	NA	NA
local/data/dicom_small_10.gd	(99, 70, 24)-(101, 76, 25)	11.435702	130.729478	1.907570	62	4	#ff004e	4	77.602410	342.601391	(101, 76, 25)-(101, 77, 26)	2.175016	6.130180	2	1.50551537975	NA
local/data/dicom_small_10.gd	(99, 69, 24)-(99, 70, 24)	1.296148	4.507913	1.052169	2	0	#6fff7fffffffffffff91	1	1.296148	4.507913	(99, 70, 24)-(101, 76, 25)	0.551576	0.113342	0	NA	NA
local/data/dicom_small_10.gd	(99, 70, 24)-(103, 69, 30)	11.481195	65.364739	1.346180	29	0	#46ff7fffffffffffffba	3	64.870559	207.364000	(99, 70, 24)-(101, 76, 25)	0.705704	1.003978	2	1.7156468206	NA
local/data/dicom_small_10.gd	(101, 67, 31)-(103, 69, 30)	4.104594	9.015826	0.836166	4	0	#00f1ff	1	4.104594	9.015826	(99, 70, 24)-(103, 69, 30)	0.621140	0.357506	0	NA	NA
local/data/dicom_small_10.gd	(103, 69, 30)-(112, 65, 24)	18.747412	54.094957	0.958369	24	0	#fff87ffffffffffffefb	2	49.284771	132.983435	(99, 70, 24)-(103, 69, 30)	0.711917	1.632880	2	NA	NA
local/data/dicom_small_10.gd	(112, 65, 24)-(116, 62, 24)	7.803100	11.269783	0.678031	5	0	#00ff44	1	7.803100	11.269783	(103, 69, 30)-(112, 65, 24)	0.707484	0.416223	0	NA	NA
local/data/dicom_small_10.gd	(112, 65, 24)-(118, 60, 31)	22.734259	67.618696	0.973012	31	1	#ff00bd	1	22.734259	67.618696	(103, 69, 30)-(112, 65, 24)	1.015279	1.212661	0	NA	NA
local/data/dicom_small_10.gd	(100, 74, 26)-(101, 76, 25)	3.567711	11.269783	1.002739	5	0	#e0ff7fffffffffffff20	1	3.567711	11.269783	(101, 76, 25)-(101, 77, 26)	1.143326	1.912494	0	NA	NA
local/data/dicom_small_10.gd	(101, 77, 26)-(101, 78, 29)	6.408602	27.047478	1.159062	12	0	#ff0011	2	20.188006	67.618696	(101, 77, 26)-(115, 126, 18)	0.638223	0.078144	2	5.00988408072	NA
local/data/dicom_small_10.gd	(100, 85, 29)-(101, 78, 29)	10.617780	29.301435	0.937244	13	0	#ff907ffffffffffffe93	1	10.617780	29.301435	(101, 77, 26)-(101, 78, 29)	0.808623	1.656801	0	NA	NA
local/data/dicom_small_10.gd	(101, 78, 29)-(103, 78, 30)	3.161624	11.269783	1.065192	5	0	#3f00ff	1	3.161624	11.269783	(101, 77, 26)-(101, 78, 29)	0.919011	0.493341	0	NA	NA
local/data/dicom_small_10.gd	(115, 126, 18)-(124, 103, 23)	38.367051	128.475522	1.032419	60	3	#00ffa3	2	55.642028	171.300696	(115, 126, 18)-(115, 143, 14)	0.533049	1.453658	2	NA	0.37546350271
local/data/dicom_small_10.gd	(122, 97, 16)-(124, 103, 23)	15.978829	38.317261	0.873675	17	0	#7a00ff	1	15.978829	38.317261	(115, 126, 18)-(124, 103, 23)	0.846240	0.416473	0	NA	NA
local/data/dicom_small_10.gd	(124, 103, 23)-(125, 103, 23)	1.296148	4.507913	1.052169	2	0	#00ceff	1	1.296148	4.507913	(115, 126, 18)-(124, 103, 23)	1.019130	0.033783	0	NA	NA
local/data/dicom_small_10.gd	(115, 132, 14)-(115, 143, 14)	16.208460	144.253217	1.683127	72	8	#ff0010	2	25.209359	171.300696	(113, 160, 13)-(115, 143, 14)	0.736123	0.602592	2	1.13671439756	0.514519483409
local/data/dicom_small_10.gd	(114, 128, 14)-(115, 132, 14)	6.729335	22.539565	1.032552	12	2	#ff6f7ffffffffffffe72	1	6.729335	22.539565	(115, 132, 14)-(115, 143, 14)	0.613472	0.415174	0	NA	NA
local/data/dicom_small_10.gd	(114, 131, 13)-(115, 132, 14)	2.271563	4.507913	0.794786	2	0	#fff57ffffffffffffef8	1	2.271563	4.507913	(115, 132, 14)-(115, 143, 14)	0.472208	0.140147	0	NA	NA
local/data/dicom_small_10.gd	(102, 234, 28)-(104, 234, 31)	7.835545	72.126609	1.711742	48	16	#5600ff	1	7.835545	72.126609	(104, 234, 31)-(105, 237, 34)	0.733989	0.824970	0	NA	NA
local/data/dicom_small_10.gd	(104, 239, 33)-(105, 237, 34)	3.567711	24.793522	1.487303	13	2	#00fff5	2	23.729072	137.491348	(105, 237, 34)-(106, 238, 35)	1.871324	1.570597	2	5.35502020017	NA
local/data/dicom_small_10.gd	(101, 239, 25)-(104, 239, 33)	16.024322	92.412217	1.354877	62	21	#ff006e	1	16.024322	92.412217	(104, 239, 33)-(105, 237, 34)	0.910963	4.491485	0	NA	NA
local/data/dicom_small_10.gd	(102, 240, 31)-(104, 239, 33)	4.137039	20.285609	1.249322	14	5	#fd00ff	1	4.137039	20.285609	(104, 239, 33)-(105, 237, 34)	0.839992	1.159578	0	NA	NA
local/data/dicom_small_10.gd	(106, 238, 35)-(113, 203, 27)	62.241581	1352.373913	2.629863	679	79	#ff00f9	4	397.765979	3164.554956	(106, 238, 35)-(106, 241, 36)	1.363929	11.121663	2	1.21848372098	NA
local/data/dicom_small_10.gd	(98, 90, 32)-(113, 203, 27)	202.176575	806.916435	1.127130	361	3	#08ff7ffffffffffffff8	3	256.242427	975.963174	(106, 238, 35)-(113, 203, 27)	0.428589	3.248256	2	NA	0.265859298112
local/data/dicom_small_10.gd	(94, 73, 32)-(98, 90, 32)	27.337436	110.443870	1.134010	49	0	#ffb47ffffffffffffeb7	2	46.832080	155.523000	(98, 90, 32)-(113, 203, 27)	1.006104	0.135216	2	5.47741565036	0.629122560544
local/data/dicom_small_10.gd	(92, 71, 33)-(94, 73, 32)	4.104594	15.777696	1.106144	7	0	#d700ff	1	4.104594	15.777696	(94, 73, 32)-(98, 90, 32)	0.975427	0.150146	0	NA	NA
local/data/dicom_small_10.gd	(94, 73, 32)-(102, 76, 33)	15.390050	29.301435	0.778484	13	0	#ff727ffffffffffffe75	1	15.390050	29.301435	(94, 73, 32)-(98, 90, 32)	0.686487	0.562966	0	NA	NA
local/data/dicom_small_10.gd	(95, 94, 31)-(98, 90, 32)	7.233772	13.523739	0.771420	6	0	#ff0c7ffffffffffffe0f	1	7.233772	13.523739	(98, 90, 32)-(113, 203, 27)	0.684411	0.035779	0	NA	NA
local/data/dicom_small_10.gd	(113, 203, 27)-(160, 211, 26)	79.281971	836.217869	1.832304	401	30	#b700ff	1	79.281971	836.217869	(106, 238, 35)-(113, 203, 27)	0.696730	1.273778	0	NA	NA
local/data/dicom_small_10.gd	(106, 241, 36)-(110, 234, 29)	21.884007	380.918652	2.353844	264	95	#ffb47ffffffffffffeb7	3	44.337342	466.569000	(106, 241, 36)-(107, 245, 38)	0.630217	2.532782	2	0.672213697629	0.292361621412
local/data/dicom_small_10.gd	(109, 233, 28)-(110, 234, 29)	2.271563	4.507913	0.794786	2	0	#00a1ff	2	20.620305	81.142435	(106, 241, 36)-(110, 234, 29)	0.337655	0.103800	2	NA	NA
local/data/dicom_small_10.gd	(107, 234, 24)-(109, 233, 28)	16.077178	72.126609	1.195000	51	19	#001aff	1	16.077178	72.126609	(109, 233, 28)-(110, 234, 29)	1.503549	7.077583	0	NA	NA
local/data/dicom_small_10.gd	(109, 233, 28)-(110, 234, 27)	2.271563	4.507913	0.794786	2	0	#ff7e7ffffffffffffe81	1	2.271563	4.507913	(109, 233, 28)-(110, 234, 29)	1.000000	1.000000	0	NA	NA
local/data/dicom_small_10.gd	(110, 234, 29)-(111, 235, 29)	1.833030	4.507913	0.884765	2	0	#0081ff	1	1.833030	4.507913	(106, 241, 36)-(110, 234, 29)	0.375881	0.083761	0	NA	NA
local/data/dicom_small_11.gd	(112, 255, 34)-(112, 309, 39)	81.005164	5888.161003	4.810149	3600	275	#ff0068	72	1041.766949	11188.391344	NA	NA	NA	2	0.868964962811	0.255491069442
local/data/dicom_small_11.gd	(106, 306, 40)-(112, 309, 39)	9.118443	154.066168	2.319094	117	30	#7dff7fffffffffffff83	1	9.118443	154.066168	(112, 255, 34)-(112, 309, 39)	0.482125	0.112566	0	NA	NA
